SongID,Cluster_Num,Cluster_Name
It's The Most Wonderful Time Of The YearAndy Williams,1,Day Drinking
Feliz NavidadJose Feliciano,6,Let's Dance
Like A RodeoKane Brown,2,"Bro, I'm Sad"
Here Comes Santa Claus (Right Down Santa Claus Lane)Gene Autry,11,Nostalgia
Make No SenseYoungBoy Never Broke Again,5,Who Tryin' to Drink?
Up All NightKhalid,3,Sing Along
Tip Of My TongueKenny Chesney,12,College Tailgate
Big StepperRoddy Ricch,5,Who Tryin' to Drink?
Rescue MeMarshmello Featuring A Day To Remember,6,Let's Dance
PressCardi B,5,Who Tryin' to Drink?
223'sYNW Melly & 9lokknine,5,Who Tryin' to Drink?
homecoming queen?Kelsea Ballerini,2,"Bro, I'm Sad"
"Otro TragoSech, Darell, Nicky Jam, Ozuna & Anuel AA",6,Let's Dance
Just UsDJ Khaled Featuring SZA,12,College Tailgate
LoyalPARTYNEXTDOOR Featuring Drake,12,College Tailgate
RumorLee Brice,2,"Bro, I'm Sad"
SurfYoung Thug Featuring Gunna,5,Who Tryin' to Drink?
My Oh MyCamila Cabello Featuring DaBaby,12,College Tailgate
Going BadMeek Mill Featuring Drake,3,Sing Along
Big Boy DiamondsGucci Mane Featuring Kodak Black & London On Da Track,5,Who Tryin' to Drink?
JuiceLizzo,3,Sing Along
Carter SonYoungBoy Never Broke Again,12,College Tailgate
SanctuaryJoji,6,Let's Dance
Best Part Of MeEd Sheeran Featuring YEBBA,2,"Bro, I'm Sad"
Truth HurtsLizzo,6,Let's Dance
Wish WishDJ Khaled Featuring Cardi B & 21 Savage,5,Who Tryin' to Drink?
Mood SwingsA Boogie Wit da Hoodie,3,Sing Along
Self ControlYoungBoy Never Broke Again,5,Who Tryin' to Drink?
Dirty IyannaYoungBoy Never Broke Again,3,Sing Along
BetterKhalid,12,College Tailgate
Cross MeEd Sheeran Featuring Chance The Rapper & PnB Rock,3,Sing Along
Light It UpYoung Thug,3,Sing Along
Wake UpTravis Scott,3,Sing Along
In ControlYoungBoy Never Broke Again,5,Who Tryin' to Drink?
Buy My Own DrinksRunaway June,3,Sing Along
LalalaY2K & bbno$,3,Sing Along
Good VibesChris Janson,3,Sing Along
Gold RosesRick Ross Featuring Drake,5,Who Tryin' to Drink?
HomesickKane Brown,2,"Bro, I'm Sad"
Lights UpHarry Styles,12,College Tailgate
Lord AboveFat Joe & Dre Featuring Eminem & Mary J. Blige,4,Concert Pregame
Hell RightBlake Shelton Featuring Trace Adkins,12,College Tailgate
In My RoomFrank Ocean,9,In My Feels
Mother's DaughterMiley Cyrus,12,College Tailgate
SheHarry Styles,12,College Tailgate
No GuidanceChris Brown Featuring Drake,12,College Tailgate
Futsal Shuffle 2020Lil Uzi Vert,5,Who Tryin' to Drink?
Remember The NameEd Sheeran Featuring Eminem & 50 Cent,4,Concert Pregame
Rearview TownJason Aldean,6,Let's Dance
Babushka BoiA$AP Rocky,5,Who Tryin' to Drink?
Summer DaysMartin Garrix Featuring Macklemore & Patrick Stump,12,College Tailgate
I Don't CareEd Sheeran & Justin Bieber,3,Sing Along
Start Wit MeRoddy Ricch & Gunna,5,Who Tryin' to Drink?
UnoAmbjaay,12,College Tailgate
"Hot Girl SummerMegan Thee Stallion, Nicki Minaj & Ty Dolla $ign",3,Sing Along
Time I'm OnYoungBoy Never Broke Again,5,Who Tryin' to Drink?
PaniniLil Nas X,6,Let's Dance
Ridin' RoadsDustin Lynch,6,Let's Dance
Lonely ChildYoungBoy Never Broke Again,5,Who Tryin' to Drink?
ShamelessCamila Cabello,12,College Tailgate
GIRLMaren Morris,6,Let's Dance
Last ChristmasWham!,3,Sing Along
DHLFrank Ocean,2,"Bro, I'm Sad"
Love You Too LateCole Swindell,12,College Tailgate
The BoxRoddy Ricch,4,Concert Pregame
Shotta FlowNLE Choppa,5,Who Tryin' to Drink?
BEST ON EARTHRuss & BIA,5,Who Tryin' to Drink?
Slow Dancing In The DarkJoji,2,"Bro, I'm Sad"
Big Ole FreakMegan Thee Stallion,5,Who Tryin' to Drink?
Even Though I'm LeavingLuke Combs,12,College Tailgate
"Hey Look Ma, I Made ItPanic! At The Disco",12,College Tailgate
My TypeSaweetie,5,Who Tryin' to Drink?
"You StayDJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",12,College Tailgate
Love SomeoneBrett Eldredge,6,Let's Dance
Chicken Noodle Soupj-hope Featuring Becky G.,12,College Tailgate
Sweet But PsychoAva Max,3,Sing Along
SpiritBeyonce,2,"Bro, I'm Sad"
RoxanneArizona Zervas,12,College Tailgate
For My DaughterKane Brown,2,"Bro, I'm Sad"
God Only Knowsfor KING & COUNTRY,2,"Bro, I'm Sad"
Pop OutPolo G Featuring Lil Tjay,5,Who Tryin' to Drink?
Raised On CountryChris Young,6,Let's Dance
SpeechlessDan + Shay,2,"Bro, I'm Sad"
Eyes On YouChase Rice,12,College Tailgate
AntisocialEd Sheeran & Travis Scott,3,Sing Along
Happy Holiday / The Holiday SeasonAndy Williams,8,Songs You Forgot About
"Mood 4 EvaBeyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",5,Who Tryin' to Drink?
RodeoLil Nas X & Cardi B,3,Sing Along
Slide AwayMiley Cyrus,6,Let's Dance
Behind BarzDrake,5,Who Tryin' to Drink?
HotYoung Thug Featuring Gunna,5,Who Tryin' to Drink?
Show Me LoveAlicia Keys Featuring Miguel,2,"Bro, I'm Sad"
Every Little ThingRussell Dickerson,3,Sing Along
"1, 2 ManyLuke Combs & Brooks & Dunn",6,Let's Dance
EcstasyYoung Thug Featuring Machine Gun Kelly,3,Sing Along
Envy MeCalboy,5,Who Tryin' to Drink?
Old Town RoadLil Nas X Featuring Billy Ray Cyrus,3,Sing Along
ReplyA Boogie Wit da Hoodie Featuring Lil Uzi Vert,12,College Tailgate
Tip ToeRoddy Ricch Featuring A Boogie Wit da Hoodie,3,Sing Along
ThrillerMichael Jackson,4,Concert Pregame
VeteBad Bunny,3,Sing Along
CherryHarry Styles,2,"Bro, I'm Sad"
Story Of My LifeOne Direction,12,College Tailgate
Castle On The HillEd Sheeran,6,Let's Dance
All By MyselfCeline Dion,2,"Bro, I'm Sad"
Strange CloudsB.o.B Featuring Lil Wayne,5,Who Tryin' to Drink?
ParisThe Chainsmokers,12,College Tailgate
Sunny Came HomeShawn Colvin,6,Let's Dance
Speed Of SoundColdplay,12,College Tailgate
Teenage DreamGlee Cast,2,"Bro, I'm Sad"
SkyfallAdele,2,"Bro, I'm Sad"
Piece By PieceKelly Clarkson,2,"Bro, I'm Sad"
StargazingTravis Scott,6,Let's Dance
Boy With LuvBTS Featuring Halsey,3,Sing Along
Change The WorldEric Clapton,2,"Bro, I'm Sad"
So WhatP!nk,12,College Tailgate
CloserThe Chainsmokers Featuring Halsey,3,Sing Along
Say SomethingJustin Timberlake Featuring Chris Stapleton,12,College Tailgate
PerfectOne Direction,12,College Tailgate
Rumour Has It / Someone Like YouGlee Cast,3,Sing Along
So GoodB.o.B,3,Sing Along
DianaOne Direction,6,Let's Dance
SorryBeyonce,12,College Tailgate
Diggin' On YouTLC,9,In My Feels
Somewhere Over The RainbowKatharine McPhee,10,Time Machine
Ring The AlarmBeyonce,5,Who Tryin' to Drink?
AirplanesB.o.B Featuring Hayley Williams,12,College Tailgate
Take A Little RideJason Aldean,6,Let's Dance
Burnin' It DownJason Aldean,3,Sing Along
Come And Get With MeKeith Sweat Featuring Snoop Dogg,5,Who Tryin' to Drink?
Steal My GirlOne Direction,12,College Tailgate
The First NightMonica,0,Chill Kickback
Save TonightEagle-Eye Cherry,12,College Tailgate
Bartier CardiCardi B Featuring 21 Savage,5,Who Tryin' to Drink?
Rescue MeMadonna,7,Long Talks and Beach Walks
SingEd Sheeran,3,Sing Along
One Summer NightThe Danleers,10,Time Machine
ParadiseColdplay,12,College Tailgate
Say SomethingA Great Big World & Christina Aguilera,2,"Bro, I'm Sad"
Be CarefulCardi B,5,Who Tryin' to Drink?
BAD!XXXTENTACION,12,College Tailgate
PressCardi B,5,Who Tryin' to Drink?
"Don't Cry For Me Argentina (From ""Evita"")Madonna",10,Time Machine
...Baby One More TimeBritney Spears,3,Sing Along
Thank UAlanis Morissette,12,College Tailgate
Born Too LatePoni-Tails,8,Songs You Forgot About
Only Wanna Be With YouHootie & The Blowfish,12,College Tailgate
Color Him FatherThe Winstons,8,Songs You Forgot About
SuperflyCurtis Mayfield,3,Sing Along
Do You Know (What It Takes)Robyn,6,Let's Dance
Overnight CelebrityTwista,3,Sing Along
"Corinna, CorinnaRay Peterson",8,Songs You Forgot About
"Release MeEsther Phillips ""Little Esther""",10,Time Machine
Taste Of HoneyHerb Alpert & The Tijuana Brass,9,In My Feels
CherishDavid Cassidy,10,Time Machine
Slow HandThe Pointer Sisters,2,"Bro, I'm Sad"
Don't Stop Believin'Journey,12,College Tailgate
Pop LifePrince And The Revolution,11,Nostalgia
Take Me HomePhil Collins,7,Long Talks and Beach Walks
Shape Of My HeartBackstreet Boys,12,College Tailgate
Don't MindKent Jones,5,Who Tryin' to Drink?
Don't StopFleetwood Mac,3,Sing Along
ShipsBarry Manilow,2,"Bro, I'm Sad"
One On OneDaryl Hall John Oates,11,Nostalgia
Stand BackStevie Nicks,3,Sing Along
AngelMadonna,11,Nostalgia
Suicide BlondeINXS,3,Sing Along
Breathe AgainToni Braxton,6,Let's Dance
Come On Over Baby (All I Want Is You)Christina Aguilera,3,Sing Along
Cool JerkThe Capitols,11,Nostalgia
DominoVan Morrison,11,Nostalgia
Rich GirlDaryl Hall John Oates,6,Let's Dance
Pink CadillacNatalie Cole,11,Nostalgia
Be Good To YourselfJourney,6,Let's Dance
Ain't 2 Proud 2 BegTLC,7,Long Talks and Beach Walks
Because Of YouKelly Clarkson,12,College Tailgate
Blue AngelRoy Orbison,8,Songs You Forgot About
SaraStarship,12,College Tailgate
Better Be Good To MeTina Turner,3,Sing Along
Bus StopThe Hollies,11,Nostalgia
Come To MeDiddy Featuring Nicole Scherzinger,4,Concert Pregame
Stand By MeBen E. King,2,"Bro, I'm Sad"
Don't Bring Me DownElectric Light Orchestra,3,Sing Along
Show Me LoveRobyn,6,Let's Dance
A Bay BayHurricane Chris,5,Who Tryin' to Drink?
BartenderT-Pain Featuring Akon,12,College Tailgate
Queen Of The HopBobby Darin,8,Songs You Forgot About
"C'mon MarianneThe 4 Seasons Featuring the ""Sound of Frankie Valli""",12,College Tailgate
As If I Didn't KnowAdam Wade,10,Time Machine
Share The LandThe Guess Who,4,Concert Pregame
Sleeping BagZZ Top,11,Nostalgia
The Edge Of HeavenWham!,11,Nostalgia
Another NightReal McCoy,3,Sing Along
Stay The SameJoey McIntyre,12,College Tailgate
808Blaque,5,Who Tryin' to Drink?
Can I Change My MindTyrone Davis,0,Chill Kickback
All I KnowGarfunkel,10,Time Machine
Did It In A MinuteDaryl Hall John Oates,11,Nostalgia
Cover MeBruce Springsteen,3,Sing Along
Ooh La La (I Can't Get Over You)Perfect Gentlemen,2,"Bro, I'm Sad"
Set The Night To MusicRoberta Flack With Maxi Priest,11,Nostalgia
Sk8er BoiAvril Lavigne,6,Let's Dance
A Boy Without A GirlFrankie Avalon,10,Time Machine
Cast Your Fate To The WindSounds Orchestral,9,In My Feels
Do You Believe In MagicThe Lovin' Spoonful,6,Let's Dance
Barefootin'Robert Parker,11,Nostalgia
School's OutAlice Cooper,4,Concert Pregame
Rhythm Is Gonna Get YouGloria Estefan & Miami Sound Machine,11,Nostalgia
Alphabet St.Prince,3,Sing Along
Can We TalkTevin Campbell,6,Let's Dance
Show Me The Meaning Of Being LonelyBackstreet Boys,6,Let's Dance
Can't Get You Out Of My HeadKylie Minogue,9,In My Feels
Blame ItJamie Foxx Featuring T-Pain,6,Let's Dance
DesiderataLes Crane,10,Time Machine
Clean Up WomanBetty Wright,3,Sing Along
Sorry 2004Ruben Studdard,12,College Tailgate
I LikeMen Without Hats,0,Chill Kickback
Ever Since The World BeganTommy Shaw,2,"Bro, I'm Sad"
Heart Don't Fail Me NowHolly Knight,0,Chill Kickback
I Was Jack (You Were Diane)Jake Owen,12,College Tailgate
I Ain't Gonna Eat Out My Heart AnymoreThe Young Rascals,11,Nostalgia
I'll Always Have Faith In YouCarla Thomas,10,Time Machine
Nobody WinsBrenda Lee,10,Time Machine
I Found SunshineThe Chi-lites,4,Concert Pregame
Night In My VeinsPretenders,0,Chill Kickback
Moan & GroanMark Morrison,7,Long Talks and Beach Walks
I Wanna KnowJoe,3,Sing Along
Gal Yuh Ah LeadT.O.K.,5,Who Tryin' to Drink?
Me & UCassie,3,Sing Along
Little BoxesPete Seeger,8,Songs You Forgot About
Look Through Any WindowThe Hollies,0,Chill Kickback
Dub Be Good To MeBeats International,11,Nostalgia
MonsterFred Schneider,0,Chill Kickback
My LoveLittle Texas,2,"Bro, I'm Sad"
Marry MeTrain,2,"Bro, I'm Sad"
Let Her GoPassenger,2,"Bro, I'm Sad"
Leave Me Alone (Let Me Cry)Dicky Doo And The Don'ts,8,Songs You Forgot About
Go Now!The Moody Blues,1,Day Drinking
I Can't Grow Peaches On A Cherry TreeJust Us,10,Time Machine
I Don't Want To Lose YouJackie Wilson,8,Songs You Forgot About
I'm Doin' Fine NowNew York City,0,Chill Kickback
Losin' MyselfDebbie Gibson,7,Long Talks and Beach Walks
It's Your WorldMarty Robbins,8,Songs You Forgot About
Live It Up Part 1The Isley Brothers,4,Concert Pregame
I'll Play The FoolDr. Buzzard's Original Savannah Band,11,Nostalgia
Good MusicJoan Jett & the Blackhearts,7,Long Talks and Beach Walks
ExclusivityDamian Dame,0,Chill Kickback
My Fallen AngelCoro,7,Long Talks and Beach Walks
Hold Back The TearsThe Delacardos,8,Songs You Forgot About
For Your Sweet LoveThe Cascades,9,In My Feels
Give All Your Love To MeGerry And The Pacemakers,10,Time Machine
King Without A CrownMatisyahu,3,Sing Along
ExchangeBryson Tiller,6,Let's Dance
How Not ToDan + Shay,6,Let's Dance
Misery BusinessParamore,6,Let's Dance
Good TimeAlan Jackson,3,Sing Along
I RememberMaurice Williams & The Zodiacs,8,Songs You Forgot About
Me And My ArrowNilsson,8,Songs You Forgot About
In The Midnight HourCross Country,1,Day Drinking
Girl ToniteTwista Featuring Trey Songz,6,Let's Dance
Money BagCardi B,3,Sing Along
I Am Who They Say I AmYoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,5,Who Tryin' to Drink?
Got Me GoingDAY26,3,Sing Along
Mama SaidLukas Graham,3,Sing Along
I'm In A Philly MoodDaryl Hall,7,Long Talks and Beach Walks
GonnaBlake Shelton,3,Sing Along
KnuckleheadBar-Kays,9,In My Feels
"KayJohn Wesley Ryles, I",10,Time Machine
ForeverMercy,9,In My Feels
LeftoversMillie Jackson,0,Chill Kickback
I Beg Your PardonKon Kan,3,Sing Along
Everything You WantRay J,0,Chill Kickback
Mirror MirrorM2M,12,College Tailgate
I Still Love YouThe Vejtables,8,Songs You Forgot About
Nobody's Baby AgainDean Martin,8,Songs You Forgot About
Lonely AgainEddy Arnold,10,Time Machine
I Love You For All SeasonsThe Fuzz,4,Concert Pregame
Gone Too FarEddie Rabbitt,11,Nostalgia
Love On The AirwavesNight,0,Chill Kickback
If You Needed SomebodyBad Company,1,Day Drinking
Girls & BoysBlur,3,Sing Along
Go Down EasyDan Fogelberg,10,Time Machine
In Harm's WayBeBe Winans,2,"Bro, I'm Sad"
Gotta Make ItTrey Songz Featuring Twista,3,Sing Along
If You Gotta Make A Fool Of SomebodyJames Ray,1,Day Drinking
Let It Be MeGlen Campbell & Bobbie Gentry,10,Time Machine
I Wanna Know If It's Good To You?Funkadelic,7,Long Talks and Beach Walks
GamesRedeye,0,Chill Kickback
Giving UpDonny Hathaway,10,Time Machine
Let's Make A BabyBilly Paul,7,Long Talks and Beach Walks
I'm Gonna Miss YouKenny Loggins,8,Songs You Forgot About
"Lullabye (Goodnight, My Angel)Billy Joel",10,Time Machine
Luchini aka (This Is It)Camp Lo,5,Who Tryin' to Drink?
Drink To That All NightJerrod Niemann,12,College Tailgate
Down The Aisle Of LoveThe Quin-Tones,10,Time Machine
I Can't Do It By MyselfAnita Bryant,8,Songs You Forgot About
Lovesick BluesFloyd Cramer,8,Songs You Forgot About
Give Me One More ChanceWilmer And The Dukes,11,Nostalgia
Loose BootySly & The Family Stone,11,Nostalgia
Let Me Return The FavorAndrea Martin,6,Let's Dance
Little Tin SoldierThe Toy Dolls,8,Songs You Forgot About
Music From Across The WayJames Last,2,"Bro, I'm Sad"
Guns For HireAC/DC,6,Let's Dance
Lip Sync (To The Tongue Twisters)Len Barry,4,Concert Pregame
"Lovin' You, Lovin' MeCandi Staton",8,Songs You Forgot About
Georgia On My MindWillie Nelson,10,Time Machine
Innocent EyesGraham Nash,0,Chill Kickback
In Walked LoveExpose,0,Chill Kickback
If You Gotta Make A Fool Of SomebodyMaxine Brown,0,Chill Kickback
Drunk GirlChris Janson,1,Day Drinking
Land Of 1000 DancesChris Kenner,9,In My Feels
I Believe In LoveKenny Loggins,11,Nostalgia
It's Not A Love ThingGeoffrey Williams,0,Chill Kickback
How Many Drinks?Miguel,12,College Tailgate
I Like Me BetterLauv,5,Who Tryin' to Drink?
Fly Me To The Moon (In Other Words)Tony Bennett,10,Time Machine
Let Me See Ya GirlCole Swindell,12,College Tailgate
Lights Down LowMAX Featuring gnash,12,College Tailgate
Evil WaysCarlos Santana & Buddy Miles,7,Long Talks and Beach Walks
Handbags And GladragsChase,10,Time Machine
I Wanna Know Your NameThe Intruders,2,"Bro, I'm Sad"
La GrangeZZ Top,5,Who Tryin' to Drink?
Look At YouBig & Rich,6,Let's Dance
Hold On (Tighter To Love)Clubland,7,Long Talks and Beach Walks
Middle Of A MemoryCole Swindell,6,Let's Dance
Escapate ConmigoWisin Featuring Ozuna,3,Sing Along
I Like It Like ThatHot Chelle Rae Featuring New Boyz,3,Sing Along
Fancy NancySkip And Flip,8,Songs You Forgot About
Little Red WagonMiranda Lambert,3,Sing Along
Killer JoeThe Kingsmen,8,Songs You Forgot About
Let's DanceChris Rea,0,Chill Kickback
Magic Carpet RideBardeux,11,Nostalgia
For The Cool In YouBabyface,11,Nostalgia
I Can't Tell The Bottom From The TopThe Hollies,2,"Bro, I'm Sad"
Everybody Be SomebodyRuffneck Featuring Yavahn,3,Sing Along
Notorious B.I.G.The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,9,In My Feels
I'm A HustlaCassidy,5,Who Tryin' to Drink?
Got 2 Luv USean Paul Featuring Alexis Jordan,5,Who Tryin' to Drink?
Greenwood MississippiLittle Richard,11,Nostalgia
I Pity The FoolAnn Peebles,8,Songs You Forgot About
My MariaBrooks & Dunn,3,Sing Along
Hard To LoveLee Brice,12,College Tailgate
From Russia With LoveThe Village Stompers,9,In My Feels
How Country FeelsRandy Houser,3,Sing Along
Just One More DayOtis Redding,10,Time Machine
High EnergyEvelyn Thomas,7,Long Talks and Beach Walks
I Can't Leave Your Love AloneClarence Carter,11,Nostalgia
I Threw It All AwayBob Dylan,10,Time Machine
Makin' The Best Of A Bad SituationDick Feller,8,Songs You Forgot About
Get LowLil Jon & The East Side Boyz Featuring Ying Yang Twins,12,College Tailgate
Love Like WoeThe Ready Set,3,Sing Along
For Me And My GalFreddy Cannon,8,Songs You Forgot About
Humphrey The CamelJack Blanchard & Misty Morgan,8,Songs You Forgot About
Hangin' OnChris Young,6,Let's Dance
Last KissWednesday,11,Nostalgia
HungryWinger,11,Nostalgia
DreamsDiana DeGarmo,2,"Bro, I'm Sad"
DownFifth Harmony Featuring Gucci Mane,6,Let's Dance
"GetawayEarth, Wind & Fire",3,Sing Along
Little Jackie Wants To Be A StarLisa Lisa And Cult Jam,0,Chill Kickback
Help MeJoni Mitchell,11,Nostalgia
Hello Old FriendEric Clapton,0,Chill Kickback
Hot LegsRod Stewart,4,Concert Pregame
He's The Greatest DancerSister Sledge,7,Long Talks and Beach Walks
My Girl JosephineJerry Jaye,0,Chill Kickback
FantasyAldo Nova,12,College Tailgate
Make Love StayDan Fogelberg,2,"Bro, I'm Sad"
Just One TimeDon Gibson,11,Nostalgia
I'll Never Love This Way AgainDionne Warwick,2,"Bro, I'm Sad"
Finish What Ya StartedVan Halen,11,Nostalgia
Low LifeFuture Featuring The Weeknd,2,"Bro, I'm Sad"
Model GirlJohnny Maestro,8,Songs You Forgot About
LandslideDixie Chicks,2,"Bro, I'm Sad"
Frontin'Pharrell Featuring Jay-Z,3,Sing Along
I'm SprungT-Pain,2,"Bro, I'm Sad"
It Hurts To Be In LoveGene Pitney,0,Chill Kickback
Hold On! I'm A Comin'Sam & Dave,0,Chill Kickback
Heartbreak HotelWhitney Houston Feat. Faith Evans & Kelly Price,3,Sing Along
Little DevilNeil Sedaka,8,Songs You Forgot About
La BambaRitchie Valens,8,Songs You Forgot About
Like StrangersThe Everly Brothers,10,Time Machine
Halfway To ParadiseBobby Vinton,10,Time Machine
LuckyBritney Spears,3,Sing Along
"I Like It, I Love ItTim McGraw",4,Concert Pregame
First QuarrelPaul and Paula,8,Songs You Forgot About
FriendsMarshmello & Anne-Marie,12,College Tailgate
Happenings Ten Years Time AgoThe Yardbirds,8,Songs You Forgot About
From His Woman To YouBarbara Mason,10,Time Machine
Keep Your Hands To YourselfThe Georgia Satellites,3,Sing Along
FlexMad Cobra,3,Sing Along
Make It RainFat Joe Featuring Lil Wayne,3,Sing Along
In The AyerFlo Rida Featuring will.i.am,3,Sing Along
Full Of FireAl Green,11,Nostalgia
Juke Box HeroForeigner,6,Let's Dance
Leave A Tender Moment AloneBilly Joel,4,Concert Pregame
HopelesslyRick Astley,1,Day Drinking
"I'm So HoodDJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",3,Sing Along
Flex (Ooh Ooh Ooh)Rich Homie Quan,3,Sing Along
Never Let Her GoDavid Gates,11,Nostalgia
Find Your Way BackJefferson Starship,4,Concert Pregame
EverydayPhil Collins,2,"Bro, I'm Sad"
HummingbirdSeals & Crofts,2,"Bro, I'm Sad"
It's A LaughDaryl Hall John Oates,0,Chill Kickback
Love Me TomorrowChicago,6,Let's Dance
Jump StartNatalie Cole,7,Long Talks and Beach Walks
Nothing Can Stop MeGene Chandler,8,Songs You Forgot About
LadyThe Whispers,2,"Bro, I'm Sad"
Let's Stay TogetherTina Turner,12,College Tailgate
Love Will Show Us HowChristine McVie,6,Let's Dance
If She Would Have Been Faithful. . .Chicago,6,Let's Dance
Hat 2 Da BackTLC,9,In My Feels
Larger Than LifeBackstreet Boys,4,Concert Pregame
Like GlueSean Paul,5,Who Tryin' to Drink?
Let The Good Times Roll & Feel So GoodBunny Sigler,0,Chill Kickback
I Was Made For Dancin'Leif Garrett,11,Nostalgia
Love Is Alright ToniteRick Springfield,6,Let's Dance
I Still BelieveBrenda K. Starr,2,"Bro, I'm Sad"
Forever YoungRod Stewart,11,Nostalgia
I Feel The Earth MoveMartika,3,Sing Along
I've Got The Music In MeThe Kiki Dee Band,11,Nostalgia
